Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PartyOnboardingPersonal,Chrome 76.0.3809.100,,,2019-08-23 17:58:55,2019-08-23 18:00:08,1m - 12.259s,INCOMPLETE
,,,,,,,
Test Cases/Login,Chrome 76.0.3809.100,"user: user31
Pass: user31",,2019-08-23 17:58:56,2019-08-23 17:59:06,10.592s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-23 17:58:56,2019-08-23 17:58:56,0.198s,PASSED
logger = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-23 17:58:56,2019-08-23 17:58:56,0.010s,PASSED
loginPage = new pageObjects.LoginPage(),Chrome 76.0.3809.100,,,2019-08-23 17:58:56,2019-08-23 17:58:56,0.035s,PASSED
"logger.logInfo(""Login - Step01 - Open browser"")",Chrome 76.0.3809.100,,,2019-08-23 17:58:56,2019-08-23 17:58:56,0.002s,PASSED
"loginPage.openBrowser(url, active)",Chrome 76.0.3809.100,,,2019-08-23 17:58:56,2019-08-23 17:59:05,8.274s,PASSED
"logger.logInfo(""Login - Step02 - Input Username"")",Chrome 76.0.3809.100,,,2019-08-23 17:59:05,2019-08-23 17:59:05,0.001s,PASSED
"loginPage.inputUsername(username, active)",Chrome 76.0.3809.100,,,2019-08-23 17:59:05,2019-08-23 17:59:05,0.234s,PASSED
"logger.logInfo(""Login - Step03 - Input Password"")",Chrome 76.0.3809.100,,,2019-08-23 17:59:05,2019-08-23 17:59:05,0.002s,PASSED
"loginPage.inputPassword(password, active)",Chrome 76.0.3809.100,,,2019-08-23 17:59:05,2019-08-23 17:59:05,0.139s,PASSED
"logger.logInfo(""Login - Step04 - Click Sign In button"")",Chrome 76.0.3809.100,,,2019-08-23 17:59:05,2019-08-23 17:59:05,0.001s,PASSED
loginPage.clickSingin(active),Chrome 76.0.3809.100,,,2019-08-23 17:59:05,2019-08-23 17:59:06,1.196s,PASSED
"logger.logInfo(""Login - wait load page"")",Chrome 76.0.3809.100,,,2019-08-23 17:59:06,2019-08-23 17:59:06,0.001s,PASSED
loginPage.waitLoadPage(active),Chrome 76.0.3809.100,,,2019-08-23 17:59:06,2019-08-23 17:59:06,0.074s,PASSED
,,,,,,,
Test Cases/DataPreparation/ConfirmDataPreparation,Chrome 76.0.3809.100,,,2019-08-23 17:59:06,2019-08-23 18:00:08,1m - 1.363s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-23 17:59:06,2019-08-23 17:59:06,0.001s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 76.0.3809.100,,,2019-08-23 17:59:07,2019-08-23 17:59:07,0.001s,PASSED
notificationPage = new pageObjects.NotificationPage(),Chrome 76.0.3809.100,,,2019-08-23 17:59:07,2019-08-23 17:59:07,0.034s,PASSED
"step = """"",Chrome 76.0.3809.100,,,2019-08-23 17:59:07,2019-08-23 17:59:07,0.001s,PASSED
"step = ""1""",Chrome 76.0.3809.100,,,2019-08-23 17:59:07,2019-08-23 17:59:07,0.001s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Click Notification icon"")",Chrome 76.0.3809.100,,,2019-08-23 17:59:07,2019-08-23 17:59:07,0.004s,PASSED
notificationPage.clickNotificationIcon(),Chrome 76.0.3809.100,,,2019-08-23 17:59:07,2019-08-23 17:59:09,2.233s,PASSED
"step = ""2""",Chrome 76.0.3809.100,,,2019-08-23 17:59:09,2019-08-23 17:59:09,0.001s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Click Approval description"")",Chrome 76.0.3809.100,,,2019-08-23 17:59:09,2019-08-23 17:59:09,0.001s,PASSED
"notificationPage.clickDescription(""Approval"")",Chrome 76.0.3809.100,,,2019-08-23 17:59:09,2019-08-23 17:59:14,5.309s,PASSED
"step = ""3""",Chrome 76.0.3809.100,,,2019-08-23 17:59:14,2019-08-23 17:59:14,0.000s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Confirmed Party Creation"")",Chrome 76.0.3809.100,,,2019-08-23 17:59:14,2019-08-23 17:59:14,0.002s,PASSED
"notificationPage.clickConfirmed(description, ""Approval"")",Chrome 76.0.3809.100,,,2019-08-23 17:59:14,2019-08-23 18:00:08,53.551s,PASSED
